,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,neutral_location,home_team_code,away_team_code
0,59.0,22.0,0.0,0.0,0.0,24.0,202.0
1,35.0,94.0,0.0,0.0,0.0,59.0,205.0
2,67.0,5.0,0.0,0.0,0.0,148.0,8.0
3,70.0,19.0,0.0,0.0,0.0,149.0,43.0
4,52.0,46.0,0.0,0.0,0.0,11.0,36.0
5,59.0,35.0,0.0,0.0,0.0,24.0,59.0
6,19.0,5.0,0.0,0.0,0.0,43.0,8.0
7,107.0,65.0,0.0,0.0,0.0,45.0,82.0
8,22.0,8.0,0.0,0.0,0.0,202.0,27.0
9,5.0,70.0,0.0,0.0,0.0,8.0,149.0
10,59.0,94.0,0.0,0.0,0.0,24.0,205.0
11,8.0,35.0,0.0,0.0,0.0,27.0,59.0
12,67.0,19.0,0.0,0.0,0.0,148.0,43.0
13,4.0,12.0,0.0,0.0,0.0,181.0,71.0
14,38.0,47.0,0.0,0.0,0.0,12.0,70.0
15,10.0,84.0,0.0,0.0,0.0,55.0,113.0
16,5.0,67.0,0.0,0.0,0.0,8.0,148.0
17,8.0,59.0,0.0,0.0,0.0,27.0,24.0
18,19.0,70.0,0.0,0.0,0.0,43.0,149.0
19,22.0,94.0,0.0,0.0,0.0,202.0,205.0
20,5.0,19.0,0.0,0.0,0.0,8.0,43.0
21,8.0,94.0,0.0,0.0,0.0,27.0,205.0
22,35.0,22.0,0.0,0.0,0.0,59.0,202.0
23,118.0,23.0,0.0,0.0,0.0,65.0,152.0
24,70.0,67.0,0.0,0.0,0.0,149.0,148.0
25,92.0,10.0,0.0,0.0,0.0,1.0,55.0
26,37.0,4.0,0.0,0.0,0.0,30.0,181.0
27,11.0,20.0,0.0,0.0,0.0,62.0,151.0
28,111.0,21.0,0.0,0.0,0.0,68.0,156.0
29,47.0,12.0,0.0,0.0,0.0,70.0,71.0
30,42.0,7.0,0.0,0.0,0.0,88.0,157.0
31,53.0,110.0,0.0,0.0,0.0,90.0,114.0
