,home_team_score
0,3.0
1,5.0
2,1.0
3,0.0
4,2.0
5,1.0
6,2.0
7,0.0
8,1.0
9,2.0
10,7.0
11,2.0
12,1.0
13,1.0
14,3.0
15,4.0
16,0.0
17,6.0
18,4.0
19,4.0
20,0.0
21,4.0
22,0.0
23,0.0
24,2.0
25,0.0
26,1.0
27,3.0
28,0.0
29,0.0
30,1.0
31,1.0
32,2.0
33,2.0
34,1.0
35,2.0
36,2.0
37,2.0
38,1.0
39,1.0
40,0.0
41,1.0
42,0.0
43,4.0
44,4.0
45,1.0
46,1.0
47,3.0
48,1.0
49,1.0
50,4.0
51,1.0
52,2.0
53,1.0
54,3.0
55,2.0
56,0.0
57,1.0
58,2.0
59,3.0
60,2.0
61,3.0
62,0.0
63,0.0
64,1.0
65,1.0
66,2.0
67,0.0
68,1.0
69,1.0
70,0.0
71,1.0
72,2.0
73,1.0
74,1.0
75,1.0
76,2.0
77,2.0
78,3.0
79,4.0
80,1.0
81,1.0
82,1.0
83,3.0
84,2.0
85,1.0
86,1.0
87,1.0
88,1.0
89,0.0
90,1.0
91,1.0
92,1.0
93,1.0
94,4.0
95,1.0
96,1.0
97,1.0
98,0.0
99,1.0
100,3.0
101,4.0
102,1.0
103,0.0
104,0.0
105,0.0
106,2.0
107,2.0
108,2.0
109,0.0
110,2.0
111,1.0
112,3.0
113,1.0
114,0.0
115,1.0
116,1.0
117,2.0
118,0.0
119,1.0
120,2.0
121,0.0
122,2.0
123,3.0
124,0.0
125,3.0
126,0.0
127,1.0
128,4.0
129,4.0
130,2.0
131,0.0
132,0.0
133,1.0
134,1.0
135,0.0
136,1.0
137,1.0
138,2.0
139,4.0
140,2.0
141,2.0
142,3.0
143,2.0
144,1.0
145,3.0
146,4.0
147,1.0
148,0.0
149,1.0
150,1.0
151,2.0
152,1.0
153,0.0
154,1.0
155,1.0
156,2.0
157,1.0
158,2.0
159,2.0
160,4.0
161,1.0
162,3.0
163,1.0
164,2.0
165,1.0
166,0.0
167,3.0
168,2.0
169,3.0
170,2.0
171,1.0
172,2.0
173,4.0
174,0.0
175,0.0
176,1.0
177,3.0
178,1.0
179,0.0
180,1.0
181,6.0
182,0.0
183,1.0
184,0.0
185,0.0
186,3.0
187,3.0
188,3.0
189,1.0
190,2.0
191,0.0
192,1.0
193,1.0
194,4.0
195,1.0
196,2.0
197,2.0
198,2.0
199,2.0
200,2.0
201,1.0
202,0.0
203,4.0
204,0.0
205,3.0
206,0.0
207,1.0
208,4.0
209,2.0
210,0.0
211,2.0
212,1.0
213,0.0
214,0.0
215,1.0
216,2.0
217,1.0
218,0.0
219,2.0
220,0.0
221,6.0
222,2.0
223,1.0
224,1.0
225,0.0
226,0.0
227,2.0
228,0.0
229,0.0
230,0.0
231,0.0
232,1.0
233,1.0
234,1.0
235,3.0
236,0.0
237,1.0
238,0.0
239,2.0
240,0.0
241,0.0
242,0.0
243,2.0
244,1.0
245,1.0
246,2.0
247,2.0
248,3.0
249,4.0
250,4.0
251,2.0
252,0.0
253,0.0
254,3.0
255,1.0
256,1.0
257,4.0
258,5.0
259,4.0
260,5.0
261,0.0
262,1.0
263,5.0
264,1.0
265,3.0
266,2.0
267,4.0
268,3.0
269,3.0
270,1.0
271,2.0
272,2.0
273,2.0
274,1.0
275,1.0
276,1.0
277,1.0
278,4.0
279,2.0
280,3.0
281,5.0
282,1.0
283,1.0
284,1.0
285,3.0
286,2.0
287,1.0
288,0.0
289,3.0
290,1.0
291,2.0
292,0.0
293,1.0
294,2.0
295,4.0
296,0.0
297,1.0
298,3.0
299,1.0
300,1.0
301,0.0
302,1.0
303,0.0
304,0.0
305,1.0
306,4.0
307,2.0
308,5.0
309,5.0
310,2.0
311,1.0
312,0.0
313,0.0
314,0.0
315,0.0
316,1.0
317,1.0
318,3.0
319,2.0
320,1.0
321,2.0
322,2.0
323,1.0
324,0.0
325,0.0
326,0.0
327,2.0
328,1.0
329,1.0
330,0.0
331,0.0
332,4.0
333,1.0
334,0.0
335,0.0
336,5.0
337,1.0
338,0.0
339,1.0
340,3.0
341,2.0
342,1.0
343,8.0
344,0.0
345,0.0
346,0.0
347,2.0
348,1.0
349,0.0
350,3.0
351,1.0
352,3.0
353,1.0
354,0.0
355,0.0
356,0.0
357,1.0
358,0.0
359,2.0
360,1.0
361,2.0
362,0.0
363,1.0
364,2.0
365,3.0
366,2.0
367,0.0
368,1.0
369,4.0
370,1.0
371,4.0
372,1.0
373,1.0
374,0.0
375,0.0
376,0.0
377,0.0
378,1.0
379,0.0
380,3.0
381,1.0
382,2.0
383,1.0
384,2.0
385,3.0
386,0.0
387,1.0
388,1.0
389,3.0
390,0.0
391,2.0
392,4.0
393,4.0
394,0.0
395,1.0
396,3.0
397,3.0
398,5.0
399,3.0
400,1.0
401,4.0
402,0.0
403,2.0
404,1.0
405,0.0
406,0.0
407,0.0
408,2.0
409,4.0
410,2.0
411,0.0
412,0.0
413,4.0
414,3.0
415,1.0
416,2.0
417,2.0
418,0.0
419,0.0
420,2.0
421,0.0
422,1.0
423,0.0
424,1.0
425,2.0
426,1.0
427,1.0
428,5.0
429,0.0
430,0.0
431,1.0
432,4.0
433,0.0
434,0.0
435,5.0
436,1.0
437,3.0
438,0.0
439,0.0
440,1.0
441,1.0
442,2.0
443,1.0
444,2.0
445,4.0
446,0.0
447,7.0
448,1.0
449,1.0
450,2.0
451,2.0
452,3.0
453,1.0
454,0.0
455,0.0
456,4.0
457,2.0
458,1.0
459,0.0
460,1.0
461,1.0
462,0.0
463,0.0
464,0.0
465,5.0
466,0.0
467,1.0
468,1.0
469,1.0
470,3.0
471,2.0
472,2.0
473,1.0
474,2.0
475,0.0
476,2.0
477,0.0
478,2.0
479,3.0
480,1.0
481,0.0
482,3.0
483,9.0
484,3.0
485,1.0
486,1.0
487,0.0
488,3.0
489,5.0
490,2.0
491,1.0
492,1.0
493,4.0
494,4.0
495,0.0
496,0.0
497,2.0
498,2.0
499,0.0
500,0.0
501,1.0
502,1.0
503,3.0
504,4.0
505,0.0
506,2.0
507,1.0
508,0.0
509,2.0
510,1.0
511,2.0
512,2.0
513,0.0
514,1.0
515,0.0
516,0.0
517,1.0
518,2.0
519,1.0
520,2.0
521,2.0
522,1.0
523,1.0
524,3.0
525,1.0
526,1.0
527,4.0
528,0.0
529,2.0
530,0.0
531,4.0
532,1.0
533,1.0
534,1.0
535,2.0
536,2.0
537,3.0
538,1.0
539,2.0
540,1.0
541,4.0
542,0.0
543,3.0
544,3.0
545,1.0
546,1.0
547,0.0
548,2.0
549,1.0
550,2.0
551,2.0
552,4.0
553,2.0
554,2.0
555,1.0
556,4.0
557,2.0
558,1.0
559,2.0
560,2.0
561,0.0
562,2.0
563,2.0
564,2.0
565,0.0
566,2.0
567,1.0
568,1.0
569,0.0
570,4.0
571,2.0
572,1.0
573,5.0
574,1.0
575,2.0
576,2.0
577,4.0
578,1.0
579,1.0
580,0.0
581,0.0
582,6.0
583,4.0
584,0.0
585,0.0
586,3.0
587,3.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,1.0
594,0.0
595,3.0
596,1.0
597,1.0
598,4.0
599,3.0
600,3.0
601,3.0
602,3.0
603,2.0
604,7.0
605,1.0
606,1.0
607,3.0
608,1.0
609,2.0
610,2.0
611,10.0
612,4.0
613,1.0
614,1.0
615,1.0
616,1.0
617,1.0
618,1.0
619,0.0
620,0.0
621,1.0
622,1.0
623,6.0
624,0.0
625,2.0
626,1.0
627,0.0
628,0.0
629,3.0
630,1.0
631,6.0
632,1.0
633,1.0
634,1.0
635,2.0
636,0.0
637,2.0
638,2.0
639,0.0
640,5.0
641,0.0
642,0.0
643,1.0
644,2.0
645,1.0
646,4.0
647,3.0
648,3.0
649,1.0
650,2.0
651,0.0
652,0.0
653,1.0
654,3.0
655,0.0
656,1.0
657,3.0
658,0.0
659,1.0
660,3.0
661,3.0
662,2.0
663,3.0
664,5.0
665,4.0
666,3.0
667,3.0
668,5.0
669,3.0
670,3.0
671,5.0
672,0.0
673,1.0
674,3.0
675,2.0
676,1.0
677,2.0
678,0.0
679,2.0
680,2.0
681,2.0
682,1.0
683,1.0
684,2.0
685,3.0
686,2.0
687,2.0
688,2.0
689,1.0
690,2.0
691,1.0
692,2.0
693,2.0
694,1.0
695,1.0
696,2.0
697,3.0
698,2.0
699,1.0
700,2.0
701,1.0
702,0.0
703,2.0
704,1.0
705,7.0
706,0.0
707,2.0
708,5.0
709,1.0
710,2.0
711,0.0
712,1.0
713,2.0
714,2.0
715,3.0
716,0.0
717,3.0
718,2.0
719,5.0
720,4.0
721,3.0
722,3.0
723,0.0
724,0.0
725,0.0
726,0.0
727,2.0
728,2.0
729,1.0
730,3.0
731,1.0
732,2.0
733,2.0
734,2.0
735,0.0
736,2.0
737,1.0
738,1.0
739,1.0
740,2.0
741,0.0
742,3.0
743,3.0
744,1.0
745,3.0
746,0.0
747,0.0
748,0.0
749,3.0
750,1.0
751,2.0
752,3.0
753,1.0
754,4.0
755,7.0
756,8.0
757,2.0
758,3.0
759,2.0
760,4.0
761,0.0
762,3.0
763,2.0
764,1.0
765,0.0
766,5.0
767,1.0
768,1.0
769,0.0
